Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,SIGNED
0,0,0,0,370,2061,331
1,1,0,0,370,2061,331
2,2,0,0,370,2061,331
3,3,0,0,370,2061,331
4,4,0,0,370,2061,331
5,5,0,0,370,2061,331
6,6,0,0,370,2061,331
7,7,0,0,370,2061,331
8,8,0,0,370,2061,331
9,9,0,0,370,2061,331
10,10,0,0,370,2061,331
11,11,0,0,370,2061,331
12,12,0,0,370,2061,331
13,13,0,0,370,2061,331
14,14,0,0,370,2061,331
15,15,0,0,370,2061,331
16,16,0,0,370,2061,331
17,17,0,0,370,2061,331
18,18,0,0,370,2061,331
19,19,0,0,370,2061,331
20,20,0,0,370,2061,331
21,21,0,0,370,2061,331
22,22,0,0,370,2061,331
23,23,0,0,370,2061,331
24,24,0,0,370,2061,331
25,25,0,0,370,2061,331
26,26,0,0,370,2061,331
27,27,0,0,370,2061,331
28,28,0,0,370,2061,331
29,29,0,0,370,2061,331
30,30,0,0,370,2061,331
31,31,0,0,370,2061,331
32,32,0,0,370,2061,331
33,33,0,0,370,2061,331
34,34,0,0,370,2061,331
35,35,0,0,370,2061,331
36,36,0,0,370,2061,331
37,37,0,0,370,2061,331
38,38,0,0,370,2061,331
39,39,0,0,370,2061,331
40,40,0,0,370,2061,331
41,41,0,0,370,2061,331
42,42,0,0,370,2061,331
43,43,0,0,370,2061,331
44,44,0,0,370,2061,331
45,45,0,0,370,2061,331
46,46,0,0,370,2061,331
47,47,0,0,370,2061,331
48,48,0,0,370,2061,331
49,49,0,0,370,2061,331
50,50,0,0,370,2061,331
51,51,0,0,370,2061,331
52,52,0,0,370,2061,331
53,53,0,0,370,2061,331
54,54,0,0,370,2061,331
55,55,0,0,370,2061,331
56,56,0,0,370,2061,331
57,57,0,0,370,2061,331
58,58,0,0,370,2061,331
59,59,0,0,370,2061,331
60,60,0,0,370,2061,331
61,61,0,0,370,2061,331
62,62,0,0,370,2061,331
63,63,0,0,370,2061,331
64,64,0,0,370,2061,331
65,65,0,0,370,2061,331
66,66,0,0,370,2061,331
67,67,0,0,370,2061,331
68,68,0,0,370,2061,331
69,69,0,0,370,2061,331
70,70,0,0,370,2061,331
71,71,0,0,370,2061,331
72,72,0,0,370,2061,331
73,73,0,0,370,2061,331
74,74,0,0,370,2061,331
75,75,0,0,370,2061,331
76,76,0,0,370,2061,331
77,77,0,0,370,2061,331
78,78,0,0,370,2061,331
79,79,0,0,370,2061,331
80,80,0,0,370,2061,331
81,81,0,0,370,2061,331
82,82,0,0,370,2061,331
83,83,0,0,370,2061,331
84,84,0,0,370,2061,331
85,85,0,0,370,2061,331
86,86,0,0,370,2061,331
87,87,0,0,370,2061,331
88,88,0,0,370,2061,331
89,89,0,0,370,2061,331
90,90,0,0,370,2061,331
91,91,0,0,370,2061,331
92,92,0,0,370,2061,331
93,93,0,0,370,2061,331
94,94,0,0,370,2061,331
95,95,0,0,370,2061,331
96,96,0,0,370,2061,331
97,97,0,0,370,2061,331
98,98,0,0,370,2061,331
99,99,0,0,370,2061,331
100,100,0,0,370,2061,331
101,101,0,0,370,2061,331
102,102,0,0,370,2061,331
103,103,0,0,370,2061,331
104,104,0,0,370,2061,331
105,105,0,0,370,2061,331
106,106,0,0,370,2061,331
107,107,0,0,370,2061,331
108,108,0,0,370,2061,331
109,109,0,0,370,2061,331
110,110,0,0,370,2061,331
111,111,0,0,370,2061,331
112,112,0,0,370,2061,331
113,113,0,0,370,2061,331
114,114,0,0,370,2061,331
115,115,0,0,370,2061,331
116,116,0,0,370,2061,331
117,117,0,0,370,2061,331
