Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
215,215,0,0,225,0,33
216,216,0,0,225,0,33
217,217,0,0,225,0,33
218,218,0,0,225,0,33
219,219,0,0,225,0,33
220,220,0,0,225,0,33
221,221,0,0,225,0,33
222,222,0,0,225,0,33
223,223,0,0,225,0,33
224,224,0,0,225,0,33
225,225,0,0,225,0,33
226,226,0,0,225,0,33
227,227,0,0,225,0,33
228,228,0,0,225,0,33
229,229,0,0,225,0,33
230,230,0,0,225,0,33
231,231,0,0,225,0,33
232,232,0,0,225,0,33
233,233,0,0,225,0,33
234,234,0,0,225,0,33
235,235,0,0,225,0,33
236,236,0,0,225,0,33
237,237,0,0,225,0,33
238,238,0,0,225,0,33
239,239,0,0,225,0,33
240,240,0,0,225,0,33
241,241,0,0,225,0,33
242,242,0,0,225,0,33
243,243,0,0,225,0,33
244,244,0,0,225,0,33
245,245,0,0,225,0,33
246,246,0,0,225,0,33
247,247,0,0,225,0,33
248,248,0,0,225,0,33
249,249,0,0,225,0,33
250,250,0,0,225,0,33
251,251,0,0,225,0,33
252,252,0,0,225,0,33
253,253,0,0,225,0,33
254,254,0,0,225,0,33
255,255,0,0,225,0,33
256,256,0,0,225,0,33
257,257,0,0,225,0,33
258,258,0,0,225,0,33
259,259,0,0,225,0,33
260,260,0,0,225,0,33
261,261,0,0,225,0,33
262,262,0,0,225,0,33
263,263,0,0,225,0,33
264,264,0,0,225,0,33
265,265,0,0,225,0,33
266,266,0,0,225,0,33
267,267,0,0,225,0,33
268,268,0,0,225,0,33
269,269,0,0,225,0,33
270,270,0,0,225,0,33
271,271,0,0,225,0,33
272,272,0,0,225,0,33
273,273,0,0,225,0,33
274,274,0,0,225,0,33
275,275,0,0,225,0,33
276,276,0,0,225,0,33
277,277,0,0,225,0,33
278,278,0,0,225,0,33
279,279,0,0,225,0,33
280,280,0,0,225,0,33
281,281,0,0,225,0,33
282,282,0,0,225,0,33
283,283,0,0,225,0,33
284,284,0,0,225,0,33
285,285,0,0,225,0,33
286,286,0,0,225,0,33
287,287,0,0,225,0,33
288,288,0,0,225,0,33
289,289,0,0,225,0,33
290,290,0,0,225,0,33
291,291,0,0,225,0,33
292,292,0,0,225,0,33
293,293,0,0,225,0,33
294,294,0,0,225,0,33
295,295,0,0,225,0,33
296,296,0,0,225,0,33
297,297,0,0,225,0,33
298,298,0,0,225,0,33
299,299,0,0,225,0,33
300,300,0,0,225,0,33
301,301,0,0,225,0,33
302,302,0,0,225,0,33
303,303,0,0,225,0,33
304,304,0,0,225,0,33
305,305,0,0,225,0,33
306,306,0,0,225,0,33
307,307,0,0,225,0,33
308,308,0,0,225,0,33
309,309,0,0,225,0,33
310,310,0,0,225,0,33
311,311,0,0,225,0,33
312,312,0,0,225,0,33
313,313,0,0,225,0,33
314,314,0,0,225,0,33
315,315,0,0,225,0,33
316,316,0,0,225,0,33
317,317,0,0,225,0,33
318,318,0,0,225,0,33
319,319,0,0,225,0,33
320,320,0,0,225,0,33
321,321,0,0,225,0,33
322,322,0,0,225,0,33
323,323,0,0,225,0,33
324,324,0,0,225,0,33
325,325,0,0,225,0,33
326,326,0,0,225,0,33
327,327,0,0,225,0,33
328,328,0,0,225,0,33
329,329,0,0,225,0,33
330,330,0,0,225,0,33
331,331,0,0,225,0,33
332,332,0,0,225,0,33
333,333,0,0,225,0,33
334,334,0,0,225,0,33
