Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
215,215,0,0,145,24,60
216,216,0,0,145,24,60
217,217,0,0,145,24,60
218,218,0,0,145,24,60
219,219,0,0,145,24,60
220,220,0,0,145,24,60
221,221,0,0,145,24,60
222,222,0,0,145,24,60
223,223,0,0,145,24,60
224,224,0,0,145,24,60
225,225,0,0,145,24,60
226,226,0,0,145,24,60
227,227,0,0,145,24,60
228,228,0,0,145,24,60
229,229,0,0,145,24,60
230,230,0,0,145,24,60
231,231,0,0,145,24,60
232,232,0,0,145,24,60
233,233,0,0,145,24,60
234,234,0,0,145,24,60
235,235,0,0,145,24,60
236,236,0,0,145,24,60
237,237,0,0,145,24,60
238,238,0,0,145,24,60
239,239,0,0,145,24,60
240,240,0,0,145,24,60
241,241,0,0,145,24,60
242,242,0,0,145,24,60
243,243,0,0,145,24,60
244,244,0,0,145,24,60
245,245,0,0,145,24,60
246,246,0,0,145,24,60
247,247,0,0,145,24,60
248,248,0,0,145,24,60
249,249,0,0,145,24,60
250,250,0,0,145,24,60
251,251,0,0,145,24,60
252,252,0,0,145,24,60
253,253,0,0,145,24,60
254,254,0,0,145,24,60
255,255,0,0,145,24,60
256,256,0,0,145,24,60
257,257,0,0,145,24,60
258,258,0,0,145,24,60
259,259,0,0,145,24,60
260,260,0,0,145,24,60
261,261,0,0,145,24,60
262,262,0,0,145,24,60
263,263,0,0,145,24,60
264,264,0,0,145,24,60
265,265,0,0,145,24,60
266,266,0,0,145,24,60
267,267,0,0,145,24,60
268,268,0,0,145,24,60
269,269,0,0,145,24,60
270,270,0,0,145,24,60
271,271,0,0,145,24,60
272,272,0,0,145,24,60
273,273,0,0,145,24,60
274,274,0,0,145,24,60
275,275,0,0,145,24,60
276,276,0,0,145,24,60
277,277,0,0,145,24,60
278,278,0,0,145,24,60
279,279,0,0,145,24,60
280,280,0,0,145,24,60
281,281,0,0,145,24,60
282,282,0,0,145,24,60
283,283,0,0,145,24,60
284,284,0,0,145,24,60
285,285,0,0,145,24,60
286,286,0,0,145,24,60
287,287,0,0,145,24,60
288,288,0,0,145,24,60
289,289,0,0,145,24,60
290,290,0,0,145,24,60
291,291,0,0,145,24,60
292,292,0,0,145,24,60
293,293,0,0,145,24,60
294,294,0,0,145,24,60
295,295,0,0,145,24,60
296,296,0,0,145,24,60
297,297,0,0,145,24,60
298,298,0,0,145,24,60
299,299,0,0,145,24,60
300,300,0,0,145,24,60
301,301,0,0,145,24,60
302,302,0,0,145,24,60
303,303,0,0,145,24,60
304,304,0,0,145,24,60
305,305,0,0,145,24,60
306,306,0,0,145,24,60
307,307,0,0,145,24,60
308,308,0,0,145,24,60
309,309,0,0,145,24,60
310,310,0,0,145,24,60
311,311,0,0,145,24,60
312,312,0,0,145,24,60
313,313,0,0,145,24,60
314,314,0,0,145,24,60
315,315,0,0,145,24,60
316,316,0,0,145,24,60
317,317,0,0,145,24,60
318,318,0,0,145,24,60
319,319,0,0,145,24,60
320,320,0,0,145,24,60
321,321,0,0,145,24,60
322,322,0,0,145,24,60
323,323,0,0,145,24,60
324,324,0,0,145,24,60
325,325,0,0,145,24,60
326,326,0,0,145,24,60
327,327,0,0,145,24,60
328,328,0,0,145,24,60
329,329,0,0,145,24,60
330,330,0,0,145,24,60
331,331,0,0,145,24,60
332,332,0,0,145,24,60
333,333,0,0,145,24,60
334,334,0,0,145,24,60
335,335,0,0,145,24,60
336,336,0,0,145,24,60
337,337,0,0,145,24,60
338,338,0,0,145,24,60
339,339,0,0,145,24,60
340,340,0,0,145,24,60
341,341,0,0,145,24,60
342,342,0,0,145,24,60
343,343,0,0,145,24,60
344,344,0,0,145,24,60
345,345,0,0,145,24,60
346,346,0,0,145,24,60
347,347,0,0,145,24,60
348,348,0,0,145,24,60
349,349,0,0,145,24,60
350,350,0,0,145,24,60
351,351,0,0,145,24,60
352,352,0,0,145,24,60
353,353,0,0,145,24,60
354,354,0,0,145,24,60
355,355,0,0,145,24,60
356,356,0,0,145,24,60
357,357,0,0,145,24,60
358,358,0,0,145,24,60
359,359,0,0,145,24,60
360,360,0,0,145,24,60
361,361,0,0,145,24,60
362,362,0,0,145,24,60
363,363,0,0,145,24,60
364,364,0,0,145,24,60
365,365,0,0,145,24,60
366,366,0,0,145,24,60
367,367,0,0,145,24,60
368,368,0,0,145,24,60
369,369,0,0,145,24,60
370,370,0,0,145,24,60
371,371,0,0,145,24,60
372,372,0,0,145,24,60
373,373,0,0,145,24,60
374,374,0,0,145,24,60
375,375,0,0,145,24,60
376,376,0,0,145,24,60
377,377,0,0,145,24,60
378,378,0,0,145,24,60
379,379,0,0,145,24,60
380,380,0,0,145,24,60
381,381,0,0,145,24,60
382,382,0,0,145,24,60
383,383,0,0,145,24,60
384,384,0,0,145,24,60
385,385,0,0,145,24,60
386,386,0,0,145,24,60
387,387,0,0,145,24,60
388,388,0,0,145,24,60
389,389,0,0,145,24,60
390,390,0,0,145,24,60
391,391,0,0,145,24,60
392,392,0,0,145,24,60
393,393,0,0,145,24,60
394,394,0,0,145,24,60
395,395,0,0,145,24,60
396,396,0,0,145,24,60
397,397,0,0,145,24,60
398,398,0,0,145,24,60
399,399,0,0,145,24,60
400,400,0,0,145,24,60
401,401,0,0,145,24,60
402,402,0,0,145,24,60
403,403,0,0,145,24,60
404,404,0,0,145,24,60
405,405,0,0,145,24,60
406,406,0,0,145,24,60
407,407,0,0,145,24,60
408,408,0,0,145,24,60
409,409,0,0,145,24,60
410,410,0,0,145,24,60
411,411,0,0,145,24,60
412,412,0,0,145,24,60
413,413,0,0,145,24,60
414,414,0,0,145,24,60
415,415,0,0,145,24,60
416,416,0,0,145,24,60
417,417,0,0,145,24,60
418,418,0,0,145,24,60
419,419,0,0,145,24,60
420,420,0,0,145,24,60
421,421,0,0,145,24,60
422,422,0,0,145,24,60
423,423,0,0,145,24,60
424,424,0,0,145,24,60
425,425,0,0,145,24,60
426,426,0,0,145,24,60
427,427,0,0,145,24,60
428,428,0,0,145,24,60
429,429,0,0,145,24,60
430,430,0,0,145,24,60
431,431,0,0,145,24,60
432,432,0,0,145,24,60
433,433,0,0,145,24,60
434,434,0,0,145,24,60
435,435,0,0,145,24,60
436,436,0,0,145,24,60
437,437,0,0,145,24,60
438,438,0,0,145,24,60
439,439,0,0,145,24,60
440,440,0,0,145,24,60
441,441,0,0,145,24,60
442,442,0,0,145,24,60
443,443,0,0,145,24,60
444,444,0,0,145,24,60
445,445,0,0,145,24,60
446,446,0,0,145,24,60
447,447,0,0,145,24,60
448,448,0,0,145,24,60
449,449,0,0,145,24,60
450,450,0,0,145,24,60
451,451,0,0,145,24,60
452,452,0,0,145,24,60
453,453,0,0,145,24,60
454,454,0,0,145,24,60
455,455,0,0,145,24,60
456,456,0,0,145,24,60
457,457,0,0,145,24,60
458,458,0,0,145,24,60
459,459,0,0,145,24,60
460,460,0,0,145,24,60
461,461,0,0,145,24,60
462,462,0,0,145,24,60
463,463,0,0,145,24,60
464,464,0,0,145,24,60
465,465,0,0,145,24,60
466,466,0,0,145,24,60
467,467,0,0,145,24,60
468,468,0,0,145,24,60
469,469,0,0,145,24,60
470,470,0,0,145,24,60
471,471,0,0,145,24,60
472,472,0,0,145,24,60
473,473,0,0,145,24,60
474,474,0,0,145,24,60
475,475,0,0,145,24,60
476,476,0,0,145,24,60
477,477,0,0,145,24,60
478,478,0,0,145,24,60
479,479,0,0,145,24,60
480,480,0,0,145,24,60
481,481,0,0,145,24,60
482,482,0,0,145,24,60
483,483,0,0,145,24,60
484,484,0,0,145,24,60
485,485,0,0,145,24,60
486,486,0,0,145,24,60
487,487,0,0,145,24,60
488,488,0,0,145,24,60
489,489,0,0,145,24,60
490,490,0,0,145,24,60
491,491,0,0,145,24,60
492,492,0,0,145,24,60
493,493,0,0,145,24,60
494,494,0,0,145,24,60
495,495,0,0,145,24,60
496,496,0,0,145,24,60
497,497,0,0,145,24,60
498,498,0,0,145,24,60
499,499,0,0,145,24,60
500,500,0,0,145,24,60
501,501,0,0,145,24,60
502,502,0,0,145,24,60
503,503,0,0,145,24,60
504,504,0,0,145,24,60
505,505,0,0,145,24,60
506,506,0,0,145,24,60
507,507,0,0,145,24,60
508,508,0,0,145,24,60
509,509,0,0,145,24,60
510,510,0,0,145,24,60
