Time_s,Original,After_60Hz_Notch,After_120Hz_Notch,After_500Hz_LPF
0,1918,1918.01048224531,1918.03144109084,1995.80319404437
1.429e-05,1930,1930.02982766535,1930.08945382064,1995.65952306677
2.858e-05,1965,1965.04283789841,1965.12843838691,1995.40784642178
4.287e-05,1972,1972.05018758288,1972.15042291812,1995.09883318651
5.716e-05,1926,1926.06278564729,1926.18813316015,1994.73813771375
7.145e-05,1956,1956.07753308789,1956.23226594451,1994.30285776477
8.574e-05,1975,1975.08567587166,1975.25655903053,1993.81461799
0.00010003,1995,1995.08856216053,1995.2650619042,1993.32064735135
0.00011432,1970,1970.09211841186,1970.27555593485,1992.83888976376
0.00012861,1983,1983.09728697562,1983.29086635451,1992.36125607247
0.0001429,1993,1993.09935409963,1993.29685184247,1991.89381947142
0.00015719,1979,1979.10195643162,1979.30442340046,1991.44615985617
0.00017148,1978,1978.1065750333,1978.31802242431,1991.00867471037
0.00018577,1980,1980.11105463655,1980.33118133582,1990.57478016404
0.00020006,1975,1975.11593379658,1975.34551492542,1990.14415271894
0.00021435,1995,1995.11878834924,1995.35375077462,1989.72331618744
0.00022864,1945,1945.12567854435,1945.37406810399,1989.30519106337
0.00024293,1969,1969.13606444732,1969.40484190875,1988.86312273389
0.00025722,2006,2006.13822922636,2006.41092249119,1988.41658000893
0.00027151,2020,2020.13352165222,2020.3963639798,1988.02141082187
0.0002858,1989,1989.13110072442,1989.3886467252,1987.69181301566
0.00030009,2009,2009.13015792571,2009.38534363223,1987.41070874849
0.00031438,2010,2010.12638370323,2010.3735270011,1987.18053392339
0.00032867,2023,2023.12072156266,2023.35603061533,1987.0156730471
0.00034296,2032,2032.11209488122,2032.32962827348,1986.92997241581
0.00035725,2042,2042.1009086935,2042.29553962342,1986.93869810508
0.00037154,2043,2043.08824130896,2043.25700378286,1987.05060762806
0.00038583,2033,2033.07678673294,2033.2221051815,1987.26004025522
0.00040012,2023,2023.06802625255,2023.19528763331,1987.54636183773
0.00041441,2037,2037.05872750981,2037.16685449112,1987.89641381357
0.0004287,2039,2039.04727497623,2039.13196230072,1988.31529968271
0.00044299,2041,2041.0352855075,2041.09546513291,1988.80766668215
0.00045728,2048,2048.02208628643,2048.05534762221,1989.37430824956
0.00047157,2050,2050.00767802185,2050.01161555108,1990.01825923487
0.00048586,2048,2047.99327341496,2047.9679102327,1990.73781705452
0.00050015,2029,2028.98170078354,2028.93271764945,1991.51659038906
0.00051444,2032,2031.97228639098,2031.90401596448,1992.33127969413
0.00052873,2029,2028.96287533813,2028.8753409995,1993.17021282115
0.00054302,2023,2022.95467985466,2022.85033046765,1994.02581119039
0.00055731,1995,1994.95106639954,1994.8390820899,1994.87433886617
0.0005716,2001,2000.95041790029,2000.83674125182,1995.68720586256
0.00058589,1995,1994.94977101446,1994.83441648025,1996.45426730938
0.00060018,1944,1943.95680149106,1943.85513103792,1997.14901788744
0.00061447,1968,1967.96746720015,1967.88675125809,1997.73356842449
0.00062876,1986,1985.9724751792,1985.90139752918,1998.22092848753
0.00064305,1980,1979.97586666489,1979.91119665154,1998.64252624774
0.00065734,1919,1918.98828028757,1918.94805997996,1998.97476332365
0.00067163,1971,1971.00190286451,1970.98854033984,1999.18543960066
0.00068592,1981,1981.00717267698,1981.00395410084,1999.3075650451
0.00070021,1983,1983.01082491872,1983.01451134727,1999.38252062252
0.0007145,1978,1978.01487984853,1978.0262729225,1999.41747965394
0.00072879,1985,1985.01866393059,1985.03721749094,1999.41436797346
0.00074308,1989,1989.02096517055,1989.04370940501,1999.38190075525
0.00075737,2001,2001.02111059131,2001.04373134243,1999.33514232093
0.00077166,1976,1976.02300596555,1976.04900086414,1999.27653370989
0.00078595,2006,2006.02422685204,2006.05224378671,1999.20301890603
0.00080024,2005,2005.02154151038,2005.04376719384,1999.13226136908
0.00081453,1978,1978.02262680123,1978.04660225746,1999.06471264504
0.00082882,1951,1951.03098288804,1951.0712433815,1998.96027946145
0.00084311,1971,1971.04027845889,1971.09869080641,1998.79168887992
0.0008574,1976,1976.04620380888,1976.11601516582,1998.57205306674
0.00087169,2005,2005.04754771628,2005.11958610464,1998.33378128978
0.00088598,1990,1990.04700461481,1990.11749023232,1998.10193339174
0.00090027,1997,1997.04753759116,1997.1186173976,1997.87949691815
0.00091456,1989,1989.04820370647,1989.12013809734,1997.66193371515
0.00092885,1982,1982.05088817273,1982.12770675151,1997.44156226987
0.00094314,1994,1994.05289712962,1994.13324064858,1997.21411383427
0.00095743,1999,1999.05261475747,1999.13189363929,1996.9912184516
0.00097172,2012,2012.04990701965,2012.12326626491,1996.79011814092
0.00098601,2014,2014.04517863376,2014.10857560497,1996.6259617264
0.0010003,2025,2025.0386996051,2025.08863458903,1996.51044058209
0.00101459,2020,2020.03141322677,2020.06627565958,1996.45002815879
0.00102888,2027,2027.02385857541,2027.04311795007,1996.44531572872
0.00104317,2030,2030.01495864694,2030.0159326865,1996.49869857328
0.00105746,2029,2029.00579135749,2028.98795608695,1996.6123064521
0.00107175,2034,2033.99608772119,2033.95838327187,1996.7850873236
0.00108604,2043,2042.98450154465,2042.92317869973,1997.02179288592
0.00110033,2036,2035.9726496144,2035.88719594736,1997.32577447656
0.00111462,2026,2025.96309092282,2025.85811300253,1997.68490924158
0.00112891,2039,2038.95313189082,2038.82784980882,1998.08820640513
0.0011432,2049,2048.94007967639,2048.78833148893,1998.54479369864
0.00115749,2036,2035.92743670182,2035.75006905637,1999.06019463168
0.00117178,2023,2022.91830044843,2022.72235507061,1999.61555449422
0.00118607,2027,2026.91038098388,2026.69831880125,2000.19018345264
0.00120036,2027,2026.90192760503,2026.67270916717,2000.77928297659
0.00121465,2029,2028.89321002486,2028.64633722242,2001.3836923582
0.00122894,2020,2019.88544052495,2019.62284097023,2001.99879823555
0.00124323,2003,2002.88117765233,2002.60989500989,2002.60658606234
0.00125752,1992,1991.88068991015,1991.6083016731,2003.17992725168
0.00127181,1993,1992.88155238088,1992.61078353216,2003.70125993143
0.0012861,1988,1987.8829567042,1987.61491433592,2004.16593303699
0.00130039,1964,1963.88826924198,1963.63079052586,2004.5604244055
0.00131468,2008,2007.89089035232,2007.63861159193,2004.88390768551
0.00132897,1976,1975.89189797959,1975.64161322398,2005.15576079588
0.00134326,1980,1979.89667900674,1979.65595472361,2005.3708301978
0.00135755,1973,1972.90186573024,1972.6715298866,2005.51707549074
0.00137184,1983,1982.90664991866,1982.68591310336,2005.59847401891
0.00138613,1983,1982.910088908,1982.6962764783,2005.62523014891
0.00140042,1990,1989.91258694659,1989.70383337514,2005.60897446214
0.00141471,2003,2002.91239361011,2002.70333402619,2005.56558019019
0.001429,1996,1995.91139489622,1995.70043832239,2005.50949843955
0.00144329,1968,1967.9151121904,1967.7117084658,2005.42746170214
0.00145758,1990,1989.91963891834,1989.72542108704,2005.30122388562
0.00147187,1967,1966.92430142099,1966.73955388881,2005.13035846625
0.00148616,1940,1939.93569796161,1939.7738971258,2004.89307973328
0.00150045,1964,1963.94749728461,1963.80945118104,2004.56811582816
0.00151474,1963,1962.95619772864,1962.83571044888,2004.17132521341
0.00152903,1947,1946.96718635349,1946.8688350116,2003.71089012694
0.00154332,1907,1906.98571403976,1906.92457028672,2003.15605333373
0.00155761,1927,1927.00693038946,1926.98835633218,2002.47669855823
0.0015719,1912,1912.02746751428,1912.05008469957,2001.67460794823
0.00158619,1942,1942.04597838178,1942.1057121707,2000.76878227111
0.00160048,1922,1922.06313631025,1922.15725729886,1999.77968847417
0.00161477,1947,1947.07961447588,1947.20673772492,1998.72180638957
0.00162906,1965,1965.09029542981,1965.23880173023,1997.62495999743
0.00164335,1980,1980.09652704284,1980.25749659732,1996.5308618753
0.00165764,1965,1965.10275417653,1965.27615823629,1995.45763590912
0.00167193,2001,2001.10614875061,2001.28630286311,1994.4163803147
0.00168622,2008,2008.10374886674,2008.27904885296,1993.43842711099
0.00170051,2005,2005.10080797087,2005.2701603883,1992.54473467475
0.0017148,1996,1996.09948088511,1996.26610188351,1991.72794474576
0.00172909,2015,2015.09680465061,2015.25798456559,1990.98393309291
0.00174338,2024,2024.09035579344,2024.23854125338,1990.32821087198
0.00175767,2020,2020.08323274146,2020.21707076375,1989.77270722442
0.00177196,2018,2018.07691716429,2018.19801928807,1989.31181408354
0.00178625,1996,1996.07383294267,1996.18865740689,1988.92592973785
0.00180054,2013,2013.07142071893,2013.18130549682,1988.59701168177
0.00181483,2012,2012.06685248131,2012.16748075829,1988.32755053559
0.00182912,2015,2015.06201421022,2015.15284325095,1988.12317976499
0.00184341,2016,2016.0566367949,2016.13658693626,1987.98319513001
0.0018577,2009,2009.05206715601,2009.12275338283,1987.90290297289
0.00187199,2004,2004.04911318025,2004.11376575584,1987.86997333973
0.00188628,2003,2003.04696654654,2003.10719831648,1987.87274935158
0.00190057,1993,1993.04630040946,1993.10506968578,1987.90071664104
0.00191486,2013,2013.04428648883,2013.09889508415,1987.95177436039
0.00192915,2050,2050.03459609482,2050.06969366955,1988.05709540639
0.00194344,2032,2032.02234872986,2032.03283116157,1988.25019534562
0.00195773,2030,2030.01279725373,2030.00406820565,1988.52474471047
0.00197202,2019,2019.00499858393,2018.98057482724,1988.85902628673
0.00198631,2011,2010.99976044634,2010.96477324387,1989.23304327024
0.0020006,2015,2014.99506237422,2014.95060130184,1989.63235670693
0.00201489,2016,2015.98969240098,2015.93442399409,1990.05508939879
0.00202918,2018,2017.98392018728,2017.91705181823,1990.50285005656
0.00204347,2003,2002.97990060002,2002.90494965264,1990.96831104289
0.00205776,2012,2011.97669065022,2011.89528784863,1991.44017220045
0.00207205,1997,1996.97429021298,1996.88806571579,1991.91124007087
0.00208634,1993,1992.97444974517,1992.88853322437,1992.36842501944
0.00210063,1969,1968.97838051018,1968.90032072302,1992.78874193856
0.00211492,1961,1960.98662002602,1960.92503572703,1993.14436522339
0.00212921,1962,1961.99580034462,1961.95257013013,1993.41958060727
0.0021435,1941,1941.00767155143,1940.98817063708,1993.6056698291
0.00215779,1956,1956.02034731009,1956.0261742946,1993.69512370779
0.00217208,1932,1932.03423102189,1932.06778802453,1993.68646279276
0.00218637,1960,1960.04757135339,1960.10775506339,1993.58337690523
0.00220066,1932,1932.06090671161,1932.14768862039,1993.39390791147
0.00221495,1952,1952.07531400643,1952.19081654761,1993.11991312841
0.00222924,1946,1946.08782996838,1946.22824699218,1992.77013686425
0.00224353,1951,1951.10047467278,1951.26603897688,1992.35634761714
0.00225782,1945,1945.11324771803,1945.30418898703,1991.88238860061
0.00227211,1960,1960.1248020795,1960.33865434652,1991.35686559635
0.0022864,1943,1943.13661903148,1943.37387742016,1990.78746438021
0.00230069,1883,1883.15879780597,1883.44014816773,1990.13950616595
0.00231498,1941,1941.18123532308,1941.50714781947,1989.38062992018
0.00232927,1960,1960.19329256864,1960.54296093953,1988.55587679054
0.00234356,1973,1973.2010317758,1973.565780111,1987.72421073972
0.00235785,1978,1978.20633915013,1978.58126630636,1986.91214237671
0.00237214,1988,1988.20961917839,1988.5906345344,1986.13619607302
0.00238643,1989,1989.21141095918,1989.59550348745,1985.40837947744
0.00240072,2004,2004.21104153161,2004.5938560138,1984.74034529321
0.00241501,1990,1990.2105314176,1990.59175506355,1984.13802112019
0.0024293,1996,1996.21109262731,1996.59283633797,1983.59512093389
0.00244359,2009,2009.2090889835,2009.58619209889,1983.11441738295
0.00245788,2015,2015.20452123509,2015.57182779437,1982.71156471866
0.00247217,2006,2006.20035276791,2006.55863563476,1982.39034939728
0.00248646,2010,2010.19685291928,2010.54742387607,1982.14244526935
0.00250075,2003,2003.1937522868,2003.53738444161,1981.95989826638
0.00251504,2013,2013.19024288126,2013.5260940079,1981.83902366186
0.00252933,1998,1998.18740221013,1998.51678567005,1981.77526671491
0.00254362,2004,2004.18576882351,2004.51107466671,1981.75838510763
0.00255791,2007,2007.18291852868,2007.50168881654,1981.78551355303
0.0025722,2015,2015.17858241223,2015.48782344093,1981.86363852886
0.00258649,2007,2007.17424228149,2007.47392563056,1981.99481648504
0.00260078,1997,1997.17232217844,1997.46726707859,1982.16671511918
0.00261507,2000,2000.17134022568,2000.46340079381,1982.36427172227
0.00262936,2024,2024.166717693,2024.44859233067,1982.59527331152
0.00264365,2032,2032.15778238535,2032.4208303123,1982.88598960234
0.00265794,2019,2019.14951821536,2019.39507011279,1983.24531590607
0.00267223,2021,2021.14273321376,2021.3737362234,1983.66046834111
0.00268652,2028,2028.13473394022,2028.34874948117,1984.12617975013
0.00270081,2038,2038.12444365836,2038.3168830775,1984.65107514851
0.0027151,2038,2038.11280591739,2038.28097153015,1985.24361118562
0.00272939,2021,2021.10345729036,2021.25192619446,1985.894986914
0.00274368,1971,1971.1031305291,1971.24994097844,1986.55924870149
0.00275797,1977,1977.10872598863,1977.26570907498,1987.18009964988
0.00277226,1987,1987.1121621951,1987.27498318687,1987.74534489504
0.00278655,1972,1972.11626753111,1972.28624879515,1988.2626943345
0.00280084,1974,1974.12211899284,1974.30273500346,1988.72531850956
0.00281513,1941,1941.13213985518,1941.33170756544,1989.114232004
0.00282942,1906,1906.15131119626,1906.38810093576,1989.38493431943
0.00284371,1908,1908.17491682736,1908.45775604082,1989.49495610127
0.002858,1913,1913.19756839158,1913.52450198299,1989.44139980958
0.00287229,1927,1927.21764954527,1927.5834878518,1989.24725572702
0.00288658,1939,1939.23421776439,1939.63188602791,1988.94363750077
0.00290087,1951,1951.24754283817,1951.67050681139,1988.56238109204
0.00291516,1948,1948.25964518252,1948.70541171861,1988.12519850533
0.00292945,1942,1942.27294869052,1942.74387052209,1987.63645564158
0.00294374,1949,1949.2861060332,1949.78183854599,1987.09644575816
0.00295803,1979,1979.29426903824,1979.80477195393,1986.52799872303
0.00297232,1973,1973.2991894191,1973.81792910987,1985.96380616492
0.00298661,2007,2007.30032925854,2007.81969940026,1985.43012345153
0.0030009,1992,1992.29890149916,1992.81372508919,1984.94907020846
0.00301519,1961,1961.30365990011,1961.8262659729,1984.50516621248
0.00302948,1915,1915.31877717741,1915.8698306851,1984.03696609521
0.00304377,1955,1955.33468910465,1955.91571814337,1983.50642320761
0.00305806,1912,1912.35099102025,1912.96271120241,1982.91410335091
0.00307235,1945,1945.36862497971,1946.01363252013,1982.25870921293
0.00308664,1928,1928.38408890212,1929.05797350154,1981.54842484608
0.00310093,1947,1947.39926819036,1948.10138926125,1980.79689239252
0.00311522,1961,1961.40998796042,1962.13135534441,1980.02528532967
0.00312951,1953,1953.41988497472,1954.15878331002,1979.25545211939
0.0031438,1922,1922.43501895502,1923.20184852357,1978.47273660133
0.00315809,1948,1948.45080954572,1949.24680442022,1977.65805329449
0.00317238,1961,1961.46133098634,1962.27587377665,1976.8316403043
0.00318667,1968,1968.46914296755,1969.29673846263,1976.02470194523
0.00320096,1974,1974.47518862599,1975.31222927819,1975.25377143294
0.00321525,1996,1996.47744833282,1997.31628962204,1974.53818596674
0.00322954,1989,1989.47767364733,1990.31417726814,1973.89694486475
0.00324383,2017,2017.47505713927,2018.30347287366,1973.34429977076
0.00325812,2017,2017.46865701634,2018.28135545265,1972.89978318241
0.00327241,2006,2006.46372629899,2007.26358679923,1972.56587687664
0.0032867,2011,2011.45959142485,2012.24814624204,1972.32809242385
0.00330099,1992,1992.45732959509,1993.23826505143,1972.17118720941
0.00331528,1991,1991.45774834256,1992.23636415866,1972.07387293444
0.00332957,2007,2007.45613376519,2008.22830183538,1972.03022191701
0.00334386,2019,2019.45073585222,2020.20883186967,1972.05799577292
0.00335815,2005,2005.44559563747,2006.1900806129,1972.16540954969
0.00337244,1992,1992.44407974925,1993.18214716999,1972.33316274025
0.00338673,1996,1996.44376334047,1997.17775508815,1972.5396189924
0.00340102,2005,2005.44168353455,2006.16801652663,1972.78393442273
0.00341531,2012,2012.43743688094,2013.15172404897,1973.07744327606
